title,image,ingredients,tags,cook_url,recipe_str,recipe_book_title,recipe_book_link
Ensalada de granada y foie,http://www.recetags.com/assets/images/recetas/blog/btHa/big/PfghvFgr_1.jpg,"|14 uvas negras o rosadas|Lechuga o Canónigos|2 rodajas de foie|1 granada|1 aguacate|Frutos secos (nueces, piñones, cacahuetes, etc.)|Vinagreta|4 cucharadas de aceite de oliva virgen extra|2 cucharadas de vinagre de frambuesa|1 cucharadita de miel suave|Sal y pimienta","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Navidad']",http://www.recetags.com/preparacion/PfghvFgr/ensalada-de-granada-y-foie,"14 uvas negras o rosadasLechuga o Canónigos2 rodajas de foie1 granada1 aguacateFrutos secos (nueces, piñones, cacahuetes, etc.)Vinagreta4 cucharadas de aceite de oliva virgen extra2 cucharadas de vinagre de frambuesa1 cucharadita de miel suaveSal y pimienta",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de perdiz escabechada,http://www.recetags.com/assets/images/recetas/blog/wIKF/big/Hy0Xwl5n_1.jpg,"|1 perdiz escabechada|1 lechuga de hoja tierna, tipo lechuga roja o una bolsa de brotes de lechuga variada de buena calidad|2 cucharadas soperas de piñones|2 cucharadas soperas de granos de granada o fuera de temporada de Pasas sin pepita|12 tomates cherry|1 puñado de brotes de ajo (opcional)","['Primeros platos', 'Fácil', 'Carnes y Aves', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/Hy0Xwl5n/ensalada-de-perdiz-escabechada,"1 perdiz escabechada1 lechuga de hoja tierna, tipo lechuga roja o una bolsa de brotes de lechuga variada de buena calidad2 cucharadas soperas de piñones2 cucharadas soperas de granos de granada o fuera de temporada de Pasas sin pepita12 tomates cherry1 puñado de brotes de ajo (opcional)",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
"Ensalada templada de espinacas, pera y atún a la plancha",http://www.recetags.com/assets/images/recetas/blog/gxdH/big/N2bZSrQF_1.jpg,|Unas hojas de espinaca frescas|Un puñado de tomates secos en aceite (los míos caseros)|50 gr. de nueces peladas|1 ó 2 peras conferencia|250 gr. de atún fresco cortado en taco|Sal en escamas,"['Primeros platos', 'Fácil', 'Pescados y Mariscos', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/N2bZSrQF/ensalada-templada-de-espinacas-pera-y-atun-a-la-plancha,Unas hojas de espinaca frescasUn puñado de tomates secos en aceite (los míos caseros)50 gr. de nueces peladas1 ó 2 peras conferencia250 gr. de atún fresco cortado en tacoSal en escamas,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de escarola con manzana caramelizada y semillas de chia,http://www.recetags.com/assets/images/recetas/blog/URaG/big/5lQPHbOR_1.jpg,|Media escarola|1 manzana|2 c/s de pasas sultana|100 gr. de queso fresco de cabra y oveja|2 c/s de semillas de chia|2c/s de azúcar,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/5lQPHbOR/ensalada-de-escarola-con-manzana-caramelizada-y-semillas-de-chia,Media escarola1 manzana2 c/s de pasas sultana100 gr. de queso fresco de cabra y oveja2 c/s de semillas de chia2c/s de azúcar,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Salmón teriyake con ensalada de bulgur y brócoli,http://www.recetags.com/assets/images/recetas/blog/PoCF/big/pLckYzqr_1.jpg,"|4 lomitos de salmón (500 grs.)|Un trozo de unos 2 cm. de jengibre fresco cortado en rodajas finas.|3 cucharadas de salsa de soja|2 cucharadas de jarabe de arce que yo he cambiado por miel|2 cucharada de mirin (vino de arroz), o de un buen vino blanco|AOVE|Sal y pimienta recíen molida","['Segundos platos', 'Fácil', 'Pescados y Mariscos', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/pLckYzqr/salmon-teriyake-con-ensalada-de-bulgur-y-brocoli,"4 lomitos de salmón (500 grs.)Un trozo de unos 2 cm. de jengibre fresco cortado en rodajas finas.3 cucharadas de salsa de soja2 cucharadas de jarabe de arce que yo he cambiado por miel2 cucharada de mirin (vino de arroz), o de un buen vino blancoAOVESal y pimienta recíen molida",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada con halloumi a la parrilla,http://www.recetags.com/assets/images/recetas/blog/rUT-/big/DI5rhDlb_1.jpg,|1/2 Lechuga|2 Tomates|1 Zanahoria|1 manzana|Halloumi (4 lochas gruesas)|Unos granos de pimienta rosa|Unos granos de comino|Aceite de oliva virgen extra|Zumo de medio limón|Sal,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Huevos y Lácteos', 'Mediterránea']",http://www.recetags.com/preparacion/DI5rhDlb/ensalada-con-halloumi-a-la-parrilla,1/2 Lechuga2 Tomates1 Zanahoria1 manzanaHalloumi (4 lochas gruesas)Unos granos de pimienta rosaUnos granos de cominoAceite de oliva virgen extraZumo de medio limónSal,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de calabaza asada y burrata con aliño verde y anchoas,http://www.recetags.com/assets/images/recetas/blog/wIKF/big/ro5_RGWR_1.jpg,|1 calabaza butternut de 1/2 kg aprox.|2 cucharadas soperas de aceite de oliva virgen extra|Sal|1 burrata o 1 bola de mozzarella fresca|1 aguacate o una ramita de albahaca fresca|1 lata de anchoas en salazón,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Huevos y Lácteos', 'Picoteo']",http://www.recetags.com/preparacion/ro5_RGWR/ensalada-de-calabaza-asada-y-burrata-con-alino-verde-y-anchoas,1 calabaza butternut de 1/2 kg aprox.2 cucharadas soperas de aceite de oliva virgen extraSal1 burrata o 1 bola de mozzarella fresca1 aguacate o una ramita de albahaca fresca1 lata de anchoas en salazón,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada de garbanzos,http://www.recetags.com/assets/images/recetas/blog/3S_O/big/VlrOUGaQ_1.jpg,"|½  cebolleta grande|1 pimiento rojo y 1 pimiento verde, no muy grandes|1 bote de garbanzos cocidos (400 g)|1 tomate grande o 1 paquete de tomates cherry|2 latas de atún (2 x100 g)|½ lata de aceitunas negras","['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas', 'Legumbres y Guisos']",http://www.recetags.com/preparacion/VlrOUGaQ/ensalada-de-garbanzos,"½  cebolleta grande1 pimiento rojo y 1 pimiento verde, no muy grandes1 bote de garbanzos cocidos (400 g)1 tomate grande o 1 paquete de tomates cherry2 latas de atún (2 x100 g)½ lata de aceitunas negras",Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
"Ensalada tibia de avena, nueces y gorgonzola con vinagreta de tomates verdes",http://www.recetags.com/assets/images/recetas/blog/nJvb/big/IXHGRJwn_1.jpg,|1 1/4 cup de agua (315 ml de agua)|1 cup de granos de avena (en tiendas bio o herboristerias)|1/8 de tsp de sal,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/IXHGRJwn/ensalada-tibia-de-avena-nueces-y-gorgonzola-con-vinagreta-de-tomates-verdes,1 1/4 cup de agua (315 ml de agua)1 cup de granos de avena (en tiendas bio o herboristerias)1/8 de tsp de sal,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
Ensalada tibia cítrica con croutons,http://www.recetags.com/assets/images/recetas/blog/1pER/big/KzSEC1iq_1.jpg,|100 grms de bacon|80 grms de rúcula|80 grms de canónigos|50 grms de queso feta|15 tomates kumato mini|8 huevos de codorniz|Sal y aceite de oliva virgen|Croutons con sabor cebolla y pimentón,"['Primeros platos', 'Fácil', 'Ensaladas, verduras y hortalizas']",http://www.recetags.com/preparacion/KzSEC1iq/ensalada-tibia-citrica-con-croutons,100 grms de bacon80 grms de rúcula80 grms de canónigos50 grms de queso feta15 tomates kumato mini8 huevos de codornizSal y aceite de oliva virgenCroutons con sabor cebolla y pimentón,Recetas Ensaladas de Invierno,http://www.recetags.com/recetarios/26/recetas-ensaladas-invierno
